project,time_stamp,name,owner_type,commodity,stock_type,quantity,production_quantity,consumption_quantity
4,1,Department IIb,INDUSTRY,Labour Power,Production,0,200,0
4,1,Department IIb,INDUSTRY,Money,Money,3000,0,0
4,1,Workers,CLASS,Money,Money,1500,0,0
4,1,Workers,CLASS,Labour Power,Sales,3000,0,0
4,1,Workers,CLASS,Luxuries,Consumption,0,0,0
4,1,Workers,CLASS,Necessities,Consumption,0,0,3000
4,1,Capitalists,CLASS,Labour Power,Sales,0,0,0
5,1,Capitalists,CLASS,Consumption,Consumption,0,0,1500
5,1,Capitalists,CLASS,Money,Money,1750,0,0
5,1,Means of Production,INDUSTRY,Means of Production,Sales,5500,0,0
5,1,Means of Production,INDUSTRY,Means of Production,Production,0,4000,0
5,1,Means of Production,INDUSTRY,Money,Money,9000,0,0
5,1,Consumption,INDUSTRY,Means of Production,Production,0,1500,0
5,1,Consumption,INDUSTRY,Labour Power,Production,0,1500,0
5,1,Means of Production,INDUSTRY,Labour Power,Production,0,2000,0
5,1,Consumption,INDUSTRY,Money,Money,3000,0,0
5,1,Consumption,INDUSTRY,Consumption,Sales,3000,0,0
5,1,Workers,CLASS,Consumption,Consumption,0,0,3500
5,1,Workers,CLASS,Labour Power,Sales,3500,0,0
5,1,Workers,CLASS,Money,Money,3500,0,0
5,1,Capitalists,CLASS,Labour Power,Sales,0,0,0
6,1,Capitalists,CLASS,Consumption,Consumption,0,0,3000
6,1,Capitalists,CLASS,Money,Money,3000,0,0
6,1,Department I,INDUSTRY,Means of Production,Sales,6000,0,0
6,1,Department II,INDUSTRY,Money,Money,4000,0,0
6,1,Department I,INDUSTRY,Labour Power,Production,0,2000,0
6,1,Department II,INDUSTRY,Labour Power,Production,0,4000,0
6,1,Department I,INDUSTRY,Money,Money,6000,0,0
6,1,Department I,INDUSTRY,Means of Production,Production,0,4000,0
6,1,Department II,INDUSTRY,Means of Production,Production,0,2000,0
6,1,Department II,INDUSTRY,Consumption,Sales,6000,0,0
6,1,Workers,CLASS,Consumption,Consumption,0,0,6000
6,1,Workers,CLASS,Money,Money,1500,0,0
6,1,Workers,CLASS,Labour Power,Sales,6000,0,0
6,1,Capitalists,CLASS,Labour Power,Sales,0,0,0
7,1,Capitalists,CLASS,Consumption,Consumption,0,0,0
7,1,Capitalists,CLASS,Money,Money,3000,0,0
7,1,Bankers,CLASS,Consumption,Consumption,0,0,300
7,1,Fixed,INDUSTRY,Money,Money,10000,0,0
7,1,Bankers,CLASS,Money,Money,10000,0,0
7,1,Consumption,INDUSTRY,Money,Money,9000,0,0
7,1,Circulating,INDUSTRY,Circulating,Production,0,5,0
7,1,Circulating,INDUSTRY,Labour Power,Production,0,5,0
7,1,Bankers,CLASS,Labour Power,Sales,0,0,0
7,1,Circulating,INDUSTRY,Circulating,Sales,600,0,0
7,1,Circulating,INDUSTRY,Fixed,Production,0,5,0
7,1,Consumption,INDUSTRY,Circulating,Production,0,1,0
7,1,Circulating,INDUSTRY,Money,Money,8000,0,0
7,1,Consumption,INDUSTRY,Fixed,Production,0,2,0
7,1,Consumption,INDUSTRY,Labour Power,Production,0,2,0
7,1,Fixed,INDUSTRY,Circulating,Production,0,5,0
7,1,Fixed,INDUSTRY,Fixed,Production,0,5,0
7,1,Workers,CLASS,Consumption,Consumption,0,0,10
7,1,Fixed,INDUSTRY,Labour Power,Production,0,5,0
7,1,Fixed,INDUSTRY,Fixed,Sales,10000,0,0
7,1,Consumption,INDUSTRY,Consumption,Sales,300,0,0
7,1,Workers,CLASS,Money,Money,3000,0,0
7,1,Workers,CLASS,Labour Power,Sales,300,0,0
7,1,Capitalists,CLASS,Labour Power,Sales,0,0,0
8,1,Capitalists,CLASS,Consumption,Consumption,0,0,1500
8,1,Capitalists,CLASS,Money,Money,1500,0,0
8,1,Capitalists,CLASS,Labour Power,Sales,0,0,0
8,1,Department Ia,INDUSTRY,Raw Materials,Production,0,1000,0
8,1,Department Ia,INDUSTRY,Labour Power,Production,0,1000,0
8,1,Department Ia,INDUSTRY,Money,Money,3000,0,0
8,1,Department Ia,INDUSTRY,Fixed,Production,0,1000,0
8,1,Department Ia,INDUSTRY,Fixed,Sales,3000,0,0
8,1,Department Ib,INDUSTRY,Raw Materials,Sales,3000,0,0
8,1,Department Ib,INDUSTRY,Money,Money,3000,0,0
8,1,Department Ib,INDUSTRY,Fixed,Production,0,2000,0
8,1,Department Ib,INDUSTRY,Raw Materials,Production,0,0,0
8,1,Department Ib,INDUSTRY,Labour Power,Production,0,1000,0
8,1,Department II,INDUSTRY,Money,Money,3000,0,0
8,1,Department II,INDUSTRY,Labour Power,Production,0,1000,0
8,1,Department II,INDUSTRY,Consumption,Sales,3000,0,0
8,1,Department II,INDUSTRY,Fixed,Production,0,0,0
8,1,Department II,INDUSTRY,Raw Materials,Production,0,2000,0
8,1,Workers,CLASS,Consumption,Consumption,0,0,3000
8,1,Workers,CLASS,Money,Money,1500,0,0
8,1,Workers,CLASS,Labour Power,Sales,3000,0,0
